"","Context","DOPAC.BS","5HIAA.BS","DA.BS","5HT.BS","DOPAC.DL","5HIAA.DL","DA.DL","5HT.DL","DOPAC.TL","5HIAA.TL","DA.TL","5HT.TL","DOPAC.OT","5HIAA.OT","DA.OT","5HT.OT","DOPAC.CB","5HIAA.CB","DA.CB","5HT.CB","DOPAC-DA.BS","HIAA-HT.BS","DOPAC-DA.DL","HIAA-HT.DL","DOPAC.DA-TL","HIAA-HT.TL","DOPAC-DA.OT","HIAA-HT.OT","DOPAC-DA.CB","HIAA-HT.CB"
"1","CC",3.58938e-05,0.003033551,0.000335094,0.005729192,4.02192e-05,0.004144526,0.00049905,0.002243018,2.02768e-05,0.003541102,0.000309559,0.011639515,6.23138e-06,0.003421148,0.000172902,0.004009434,0.000134443,0.000679141,0.00034523,0.000858743,0.107115474,0.529490211,0.080591535,1.847745195,0.065502229,0.30423103,0.036039895,0.853274615,0.389431372,0.790855044
"2","CC",0.000110436,0.00353223,0.001130963,0.005213618,2.28985e-07,0.005674615,0.001460127,0.005026338,0.000175943,0.005820106,0.000237121,0.017003075,6.77292e-05,0.003619583,0.000210387,0.002307617,0.001401563,0.003980835,0.001160538,0.003037204,0.097647297,0.677500719,0.000156826,1.128976124,0.741994439,0.342297267,0.3219266,1.56853712,1.207683722,1.310690821
"3","CC",1.45092e-07,0.000355057,0.000113769,0.000812958,1.35972e-05,0.004342009,0.000822976,0.010418966,1.96721e-05,0.005553134,0,0.013087813,7.33523e-05,0.001881153,0.000218777,0.002102445,5.67301e-06,7.89688e-05,3.01902e-07,9.15923e-05,0.00127533,0.436746792,0.016521925,0.416740877,0,0.424298119,0.335283694,0.894745215,18.79088224,0.86217706
"4","CC",3.41514e-06,0.000587597,0.000137287,0.000402098,0.000100731,0.002948782,0.000519616,0.00743593,1.71228e-05,0.003686454,0.000187578,0.009145918,4.04973e-07,0.002032477,0.000148591,0.002715172,3.17746e-05,0.000147048,0.000100757,0.000415503,0.024875999,1.461329143,0.193856011,0.396558633,0.09128348,0.403070948,0.002725427,0.748562822,0.315358967,0.353903891
"5","CC",5.19833e-05,0.000820979,0.000400269,0.003760629,6.49712e-05,0.002140171,0.000721304,0.007175902,4.37324e-05,0.002840026,0.00023265,0.013355789,9.29729e-05,0.002387643,0.000417401,0.003796935,2.71814e-05,0.000124402,7.74214e-05,0.000342091,0.12987093,0.218308971,0.090074639,0.298244179,0.187975206,0.212643834,0.222742744,0.628834269,0.351083406,0.363650463
"6","CC",5.0916e-05,0.000531825,0.000156927,0.00165639,0.000234851,0.002885585,0.000756366,0.009166711,0.000136054,0.006561215,0.000410335,0.024791476,0.000262681,0.002688593,0.000198827,0.005773191,6.38038e-05,0.000345157,0.00013311,0.0014738,0.324456343,0.321074708,0.310499339,0.314789532,0.331569025,0.264656077,1.321151204,0.465703029,0.479331286,0.234195097
"7","CC",0.000156946,0.001974449,0.000351078,0.003529117,0.000110166,0.005147606,0.000896322,0.008753559,0.000165381,0.009061433,0.000211842,0.029419529,5.85666e-06,0.002931956,0.000273682,0.002944292,4.3253e-05,0.000510628,8.6819e-05,0.000506878,0.44704083,0.559474021,0.122908417,0.588058638,0.780682622,0.308007426,0.021399502,0.995810486,0.498197805,1.00739762
"8","CC",8.38988e-05,0.001463137,0.000484597,0.001969582,2.25586e-05,0.003774935,0.000734392,0.014125444,8.30488e-05,0.006254216,0.000750004,0.022324184,1.71812e-06,0.002775349,0.000320306,0.004078182,1.16262e-05,0.000520458,0.000105505,0.000658603,0.173131159,0.742867016,0.030717417,0.267243639,0.110731119,0.280154293,0.005364005,0.680535912,0.110195561,0.790245575
"9","CH",2.983e-06,0.002028767,0.000833955,0.005652953,2.27321e-06,0.003217321,0.000505821,0.005310682,7.75301e-06,0.004029963,0.000372709,0.008373645,5.64088e-07,0.00143502,8.85402e-05,0.001630691,0.000136145,0.000135843,7.78846e-05,0.000348684,0.003576928,0.358886182,0.004494099,0.605820677,0.020801787,0.481267426,0.006370983,0.880007222,1.748033252,0.389588029
"10","CH",5.10195e-07,0.00203031,0.000746112,0.004980336,2.57656e-05,0.002866118,0.000471615,0.00537202,2.18125e-05,0.005468745,0.000210388,0.018632028,3.49423e-06,0.001170669,5.99874e-05,0.001433111,5.10861e-06,0.000178898,0,9.0262e-06,0.000683805,0.407665277,0.054632704,0.533527096,0.103677574,0.293513157,0.058249284,0.816872113,0,19.81982188
"11","CH",2.11223e-06,0.001827052,0.000620058,0.003851032,4.36248e-06,0.002954854,0.000296268,0.004570277,2.33084e-05,0.003629976,0.000300833,0.016813736,1.30347e-05,0.001816529,0.000180165,0.001729899,1.9459e-06,0.000131008,3.56141e-08,4.75511e-06,0.003406508,0.474431744,0.014724788,0.646537218,0.077479288,0.215893462,0.07234855,1.050078238,54.63844508,27.55096046
"12","CH",6.19749e-05,0.001713442,0.000341659,0.006409092,1.91809e-05,0.002437055,0.000629135,0.006579318,6.04534e-05,0.005623515,0.000232719,0.016928391,2.55773e-05,0.001911247,0.000287452,0.003779802,6.41789e-06,7.90687e-05,4.1061e-05,3.37797e-05,0.181393901,0.267345571,0.030487695,0.370411578,0.259769292,0.33219431,0.088979647,0.505647544,0.156301254,2.340715252
"13","CH",8.42514e-07,0.000403483,7.83084e-05,0.000350802,3.1984e-05,0.002703778,0.000494769,0.004045703,2.64774e-05,0.004752091,0.000227517,0.008358019,1.31083e-05,0.000935561,5.45577e-05,0.000276595,7.07011e-07,4.27459e-05,1.44865e-05,0.000180163,0.010758928,1.150172534,0.064644376,0.668308668,0.11637571,0.568566636,0.240264601,3.382416031,0.04880479,0.237262831
"14","CH",1.95286e-05,0.001309634,0.000369908,0.00112603,1.72074e-05,0.003229187,0.000606575,0.005681758,1.20364e-05,0.006283696,0,0.01786989,5.68198e-06,0.002072388,7.68283e-05,0.001156288,6.94351e-06,7.84821e-05,7.94877e-06,0.000245377,0.052793146,1.163053994,0.028368178,0.568342902,0,0.351635951,0.073956885,1.792276586,0.873533624,0.319843251
"15","CH",1.65175e-05,0.000920939,0.000118516,0.002137808,6.69637e-05,0.002035865,0.00025407,0.001842443,2.96203e-05,0.005000157,0.000231821,0.01960384,2.65627e-05,0.002651211,0.000129543,0.002358593,3.71622e-05,7.28212e-05,2.25966e-05,0.000252106,0.13936954,0.430786409,0.263563662,1.104981486,0.127772091,0.255060083,0.20504911,1.124064594,1.644589376,0.288851392
"16","CH",2.09161e-05,0.001455053,0.000321661,0.009290548,9.41205e-05,0.003771458,0.000713524,0.01020472,2.85914e-05,0.003625158,0.000334293,0.013142345,3.53385e-05,0.001529339,0.000338019,0.001786212,3.94865e-05,0.000405631,0.000385962,0.001230654,0.065025342,0.156616489,0.131909371,0.369579764,0.085527968,0.275838018,0.104545975,0.856191316,0.246213967,0.329605964
"17","CH",9.42484e-08,0.001209019,6.62935e-05,0.000879342,9.66219e-05,0.001621763,0.000149487,0.001139526,5.58131e-05,0.004621008,0.000165924,0.012681878,3.26746e-05,0.002171987,0.000104648,0.002816307,2.21979e-05,9.92753e-05,9.01568e-05,0.000239962,0.001421684,1.374913378,0.646354619,1.42319077,0.336378079,0.364378869,0.31223366,0.771218076,0.315358967,0.413712777
"18","CH",4.79801e-05,0.001133806,0.000658395,0.001742437,5.62093e-05,0.003178298,0.00098096,0.009759592,2.07759e-05,0.009723322,0.000288664,0.026764615,7.00079e-05,0.002821933,0.000295498,0.003770662,5.64207e-05,0.000133049,5.20753e-05,0.000257233,0.072874375,0.650701427,0.057300309,0.325658877,0.07197274,0.363290166,0.236915316,0.748391798,1.08344462,0.517231891
