"","Context","DOPAC.BS","5HIAA.BS","DA.BS","5HT.BS","DOPAC.DL","5HIAA.DL","DA.DL","5HT.DL","DOPAC.TL","5HIAA.TL","DA.TL","5HT.TL","DOPAC.OT","5HIAA.OT","DA.OT","5HT.OT","DOPAC-DA.BS","HIAA-HT.BS","DOPAC-DA.DL","HIAA-HT.DL","DOPAC.DA-TL","HIAA-HT.TL","DOPAC-DA.OT","HIAA-HT.OT"
"1","CC",40.81003742,273.9250208,84.27432096,203.4956916,1.533592997,417.2405114,93.88266286,711.1465457,26.7341209,432.4688875,63.00156653,822.2752241,51.75476714,170.8805894,85.91878111,226.3984684,0.484252343,1.346097397,0.01633521,0.586715233,0.424340574,0.525941771,0.602368498,0.754778027
"2","CC",55.66545479,289.5602278,62.21993879,207.3181915,1.646369277,364.2628699,107.9048542,791.2952761,21.11554287,544.1084104,173.7469071,1348.862322,77.65540875,302.3090542,114.4024209,144.0285909,0.894656213,1.396694741,0.015257602,0.460337476,0.121530468,0.403383208,0.678791656,2.098951689
"3","CC",14.10364757,212.6028872,69.20704189,338.3629317,1.586121577,421.2103418,129.7112649,723.8544112,39.03860529,403.5284843,95.16873694,726.6601239,21.82267533,164.1919039,68.28486328,227.369395,0.203789198,0.62832795,0.012228094,0.581899254,0.410204092,0.555319428,0.31958291,0.722137225
"4","CC",13.41667586,231.2468058,157.4523799,851.8285026,3.241134288,186.221912,76.82233152,395.6569335,24.11736627,377.2920541,66.37159707,913.1880169,382.4743425,2680.418429,185.1012967,6620.723033,0.085211007,0.271471083,0.042190002,0.470665105,0.36336878,0.413159226,2.066297477,0.404852826
"5","CC",29.79523433,500.6191554,107.6407284,373.2149175,14.00037868,345.9224635,129.7431036,736.3515924,25.29348858,362.4703349,97.71648904,1537.869248,155.7392976,892.1225489,532.1496834,1655.32643,0.276802608,1.341369629,0.107908461,0.46977893,0.258845655,0.235696458,0.292660698,0.538940557
"6","CC",25.58217423,222.2478712,136.2961562,867.092493,20.801355,450.7976894,223.5927473,1654.419593,31.86600479,505.1272069,82.94063837,1689.681032,241.9752985,625.810636,691.8419374,2031.459261,0.187695493,0.256313915,0.093032333,0.27248087,0.38420255,0.298948261,0.349755176,0.308059654
"7","CC",25.78160149,119.1832148,47.19815098,0,11.23607747,345.9322532,160.2535381,1232.424712,17.74356677,477.911087,38.21394954,620.2886533,81.3575575,647.5335514,312.5404041,415.4907405,0.546241769,0,0.07011438,0.280692402,0.46432172,0.770465628,0.260310528,1.558478898
"8","CC",42.692881,122.6491168,129.6042197,322.4743371,5.990149046,415.8798437,184.0819145,967.7754636,35.94586392,776.0184582,190.623427,1427.241638,737.1366158,453.7374642,161.2121421,335.1569708,0.329409653,0.380337604,0.032540671,0.429727617,0.188570023,0.543719043,4.572463377,1.353805839
"9","CC",39.61970841,292.8884334,58.04840584,187.8532145,4.539235259,488.2307514,223.5887363,1662.916464,53.01195727,796.2049621,306.752406,1325.857556,61.29148739,311.0003164,191.6693977,603.7335059,0.682528794,1.559134531,0.020301717,0.293599084,0.172816761,0.600520741,0.319777117,0.515128469
"10","CH",28.12117916,160.5860006,129.765782,81.3532713,5.127513329,462.7298058,116.875212,508.5336761,25.00587951,293.1132208,128.2654908,1289.94894,132.5099085,841.648584,596.5461612,2251.740364,0.216707199,1.973934153,0.043871692,0.909929524,0.19495407,0.227228545,0.222128508,0.373776923
"11","CH",51.51725603,283.1959538,95.69926929,155.484402,3.035520694,201.3478508,211.8534892,682.3767629,71.68330012,632.2395113,176.8815663,1003.19171,327.5525573,1132.052103,571.2665706,1220.876399,0.538324445,1.821378545,0.014328396,0.295068446,0.405261564,0.630228006,0.573379529,0.927245463
"12","CH",35.49004206,255.9800744,102.8194081,460.4988802,4.97126029,585.8077649,227.923844,1320.648148,37.49990865,716.7306038,157.3401725,705.8730798,676.414491,577.4718747,199.6022714,311.8434669,0.345168706,0.555875563,0.021811058,0.443575956,0.238336517,1.015381694,3.388811592,1.851800458
"13","CH",61.09548656,183.0304291,71.61405408,71.28355274,0,554.5556501,165.6368989,997.8641414,35.537157,611.0426439,99.43232309,486.9177095,829.3264536,616.5684103,227.2597098,784.6535986,0.853121463,2.567638986,0,0.555742638,0.35740045,1.254919737,3.649245413,0.785784213
"14","CH",31.79531733,230.7120788,112.4730642,213.7354536,0,550.136566,208.7711266,2182.539718,52.15534785,626.0014476,128.0956025,620.3524409,651.2281374,578.4847045,232.9929983,1251.395701,0.282692728,1.079428213,0,0.252062568,0.40715955,1.009106125,2.795054539,0.462271609
"15","CH",56.65372108,477.1623485,182.6478738,992.2621969,0,478.6115643,152.0521566,1272.170509,22.62473862,517.1831848,145.0824522,1003.023083,883.597558,609.9364898,233.354444,1371.721833,0.31018002,0.480883329,0,0.376216522,0.155944005,0.515624409,3.786504097,0.444650275
